Product Name,Brand Name,Price,Rating,Reviews,Review Votes
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,1,Serious problems with the phone. Isnt compatible with tmobile but says in the factory settings that the carrier is tmobile. Also isn't unlocked like they claim to be. Don't buy the phone it's just a huge hassle,6
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Thanks,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Got the phone worked perfectly with my carrier no issues what so ever. Good buy.,1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,1,"This phone was bought as a birthday gift.(I didnt open the package to inspect because I assumed it was new and nothing to worry about. It was sealed in plastic) The first thing the birthday girl noticed was the dust under the screen, stickers everywhere and the knock off charger. She over looked it because the phone worked. Two days later the phone stopped working and she asked if the phone was used. After taking the phone into tmobile together, they confirmed the phone was used and the imei # is blocked from their network (that means either stolen/owing money/fraud). In other words they cant help me and I should return it. Went home to pack the phone back in the box and arrange to return it then I noticed the stickers I mentioned earlier were actually meant to hide info on the box. Long story short, the box is not for this phone. The imei on the sticker is different to the one on the box. So this seller got an old box, printed stickers to match the imei/specs of the phone and placed it over the info on the box. Do not buy from this person. If you do make sure to ask for that IMEI first. Here's some pictures just in case they plan to re-sell the same phone without being honest. I blacked out the end of the imei for security reasons but it's clear the both numbers don't match. Worst purchase ever!!!!!",48
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Thanks I love it,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Wonderful!!!!! A plus seller. Phone was brand new.,1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,4,Phone arrived quickly as described and worked great for a week. After a day bouncing between Apple and my carrier Apple replaced the phone for a new one. The new phone lasted a week and I had to make another appointment with Apple and they replaced that phone. Quality control could be better. Has all the bells and whistle to keep my daughter happy.,4
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,I received my iPhone 5s about 3 days early and it was practically brand new,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Awesome phone!. It's just amazing :),0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,It's excellent,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,4,Iphone 5s is excellent.,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,bien,1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Product is brand new and works BRAND NEW!!,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,"Great phone, great price and received it in great used conditions! 👍👍",1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Nice phone.,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,I got in 3days and is exactly what I wanted. No scratches no crack no nothing it was practically brand new.,1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Good,0
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,"Super fast delivery! By the time I went to track it to see when it would arrive, it was already delivered! Product exceeds expectations.",1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,is a very good buy,1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,4,Great iPhone,1
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,5,Phone as in perfect condition,2
Apple iPhone 5s 32GB (Space Gray) - T-Mobile,Apple,192,1,The screen came lift up already,1
